txn_id,cust_id,txn_amount,currency,txn_date,category,txn_status
1001,1,$150.00,USD,2023-02-01,Electronics,completed
1002,2,"$1,200.50",USD,02/15/2023,Furniture,completed
1003,3,$45.99,USD,2023-03-10,Groceries,completed
1004,4,$320.00,USD,20-Mar-2023,Electronics,pending
1005,5,$89.75,USD,2023/04/05,Clothing,completed
1006,6,$550.00,USD,2023-04-22,Furniture,completed
1007,7,"$2,100.00",USD,05/28/2023,Electronics,completed
1008,8,$33.50,USD,2023-06-15,Groceries,completed
1009,9,$175.25,USD,05-Jul-2023,Clothing,completed
1010,10,$420.00,USD,2023-07-20,Electronics,failed
1011,1,$67.80,USD,2023-08-01,Groceries,completed
1012,2,$890.00,USD,08/18/2023,Furniture,completed
1013,3,$125.00,USD,2023-09-05,Electronics,completed
1014,4,$45.00,USD,22-Sep-2023,Groceries,pending
1015,5,$780.50,USD,2023/10/10,Furniture,completed
1016,6,$55.25,USD,2023-10-25,Clothing,completed
1017,7,$340.00,USD,11/08/2023,Electronics,completed
1018,8,$92.00,USD,2023-11-20,Groceries,completed
1019,9,"$1,450.75",USD,10-Dec-2023,Furniture,completed
1020,10,$28.99,USD,2023-12-22,Clothing,completed
1021,11,$650.00,USD,2023-08-02,Electronics,completed
1022,12,$43.50,USD,08/15/2023,Groceries,completed
1023,13,$975.00,USD,2023-09-01,,completed
1024,14,$110.25,USD,18-Sep-2023,Clothing,completed
1025,15,$380.00,USD,2023-10-05,Electronics,pending
1026,16,$67.00,USD,10/22/2023,Groceries,completed
1027,17,"$1,800.00",USD,2023-11-10,Furniture,completed
1028,18,$55.50,USD,2023-11-28,Clothing,completed
1029,19,$290.75,USD,15-Dec-2023,Electronics,completed
1030,20,$82.00,USD,2024-01-05,Groceries,completed
1031,21,$445.00,USD,01/18/2024,Furniture,completed
1032,22,$35.75,USD,2024-02-01,Groceries,completed
1033,23,$720.00,USD,02/14/2024,Electronics,completed
1034,24,$195.50,USD,2024-03-01,,completed
1035,25,$88.25,USD,15-Mar-2024,Clothing,completed
1036,26,$530.00,USD,2024-04-02,Electronics,completed
1037,27,$47.00,USD,04/10/2024,Groceries,completed
1038,28,"$1,100.00",USD,2024-04-20,Furniture,completed
1039,29,$63.75,USD,28-Apr-2024,Clothing,completed
1040,30,$415.00,USD,2024-05-15,Electronics,pending
1041,31,$92.50,USD,06/01/2024,Groceries,completed
1042,32,$685.00,USD,2024-06-18,Furniture,completed
1043,33,$41.25,USD,25-Jun-2024,Groceries,completed
1044,34,$350.00,USD,2024-07-10,Electronics,completed
1045,35,$78.00,USD,07/22/2024,Clothing,completed
1046,36,$920.00,USD,2024-08-08,Furniture,completed
1047,37,$55.50,USD,25-Aug-2024,Groceries,completed
1048,38,$480.00,USD,2024-09-12,Electronics,completed
1049,39,$115.25,USD,09/25/2024,Clothing,completed
1050,40,$670.00,USD,2024-10-08,Furniture,completed
1051,1,$-25.00,USD,2023-03-01,Groceries,refund
1052,2,$0.00,USD,03/10/2023,Electronics,cancelled
1053,3,$999999.99,USD,2023-04-01,Electronics,completed
1054,5,$42.50,USD,2023/05/15,,completed
1055,8,$185.00,USD,2023-07-01,Clothing,completed
1056,10,$310.50,USD,2023-08-10,Electronics,completed
1057,12,$72.25,USD,09/01/2023,Groceries,completed
1058,15,$445.00,USD,2023-10-20,Furniture,completed
1059,18,$38.75,USD,2023-12-05,Clothing,completed
1060,20,$580.00,USD,2024-01-18,Electronics,completed
1061,22,$95.00,USD,02/10/2024,Groceries,completed
1062,25,$720.50,USD,2024-03-28,Furniture,completed
1063,28,$55.00,USD,04/15/2024,Clothing,completed
1064,30,$880.00,USD,2024-05-22,Electronics,pending
1065,33,$42.75,USD,07/01/2024,Groceries,completed
1066,35,$365.00,USD,2024-08-01,Electronics,completed
1067,38,$98.50,USD,09/18/2024,Clothing,completed
1068,40,$510.00,USD,2024-10-25,Furniture,completed
1069,41,$145.75,USD,11/05/2024,Electronics,completed
1070,42,$67.00,USD,2024-11-15,Groceries,completed
1071,43,$830.25,USD,12/01/2024,Furniture,completed
1072,44,$52.50,USD,2024-12-10,Clothing,completed
1073,45,$290.00,USD,01/05/2025,Electronics,completed
1074,46,$78.25,USD,2025-01-20,Groceries,completed
1075,48,$435.00,USD,02/08/2025,Furniture,completed
1076,49,$61.75,USD,2025-02-22,Clothing,completed
1077,50,$540.00,USD,03/05/2025,Electronics,completed
1078,1001,$200.00,USD,2024-01-01,Electronics,completed
1079,1,$155.00,USD,2023-02-01,Electronics,completed
1079,3,$88.00,USD,2023-03-15,Groceries,completed
1080,999,$350.00,USD,2024-06-01,Furniture,completed
